id,question,A,B,C,Answerkey
101,What's your name?,I am Rocky.,He is Rocky.,It's Rocky.,A
102,How old are you?,I'm fine.,I'm seven.,You're welcome.,B
103,What's this?,It's blue.,It's a pencil.,"No, it isn't.",B
104,What color is it?,It's red.,It's a red pen.,"Yes, it is.",A
105,Is that a dog?,"No, it isn't.","Yes, I can.",He is tall.,A
106,What can you do?,I'm ten.,She's my mother.,I can draw.,C
107,Can you swim?,"No, it's not.","Yes, he is.","No, I can't.",C
108,Who's he?,I'm Mia.,He's my father.,She's my sister.,B
109,Is he a teacher?,"Yes, he is.","No, she's not.",I am a student.,A
110,How are you?,Good morning.,Thank you.,I'm fine.,C
111,What's that?,It's an eraser.,I'm fine.,"Yes, it is.",A
112,Is she a doctor?,He is a doctor.,"Yes, she is.","No, it isn't.",B
113,What color is it?,It's a green tree.,"Yes, it is.",It's green.,C
114,Can you sing?,"No, I can't.",I am sing.,"Yes, it is.",A
115,Who's she?,She's my grandmother.,He's my grandfather.,She's a nurse.,A
116,How old are you?,I'm fine.,It's nine.,I'm nine.,C
117,Is it a big dog?,"Yes, I am.","Yes, it is.","No, he's not.",B
118,Is he tall?,"Yes, she is.","No, it's not.","Yes, he is.",C
119,Is she short?,"No, she's not.","No, he isn't.","Yes, I can.",A
120,What's your name?,He is Abu.,I am Abu.,I'm eight.,B
121,What color is it?,It's a black pen.,"No, it isn't.",It's black.,C
122,Can you draw?,"Yes, I can.",I can draw.,"Yes, she is.",A
123,Is he a cook?,I'm fine.,"No, he's not.","No, she's not.",B
124,Who's he?,He's my brother.,She's my sister.,It's a small dog.,A
125,What's this?,It's yellow.,I'm Mia.,It's a ruler.,C
126,Is she a student?,"Yes, she is.","Yes, I am.","No, he's not.",A
127,What can you do?,I'm a student.,I can swim.,He can dance.,B
128,Who's she?,He's my brother.,She is short.,She's my mother.,C
129,Is he a driver?,"Yes, he is.","No, I'm not.",It's a big car.,A
130,Can you dance?,I can dance.,"No, it's not.","Yes, I can.",C
131,What's that?,It's a marker.,It's red.,I'm fine.,A
132,How old are you?,It's fifteen.,Thank you.,I'm fifteen.,C
133,Is that a cat?,"No, I'm not.","Yes, I can.","No, it isn't.",C
134,What color is it?,It's orange.,It's a book.,"Yes, it is.",A
135,Who's he?,He's my grandfather.,She's my grandmother.,I am a boy.,A
136,Is she a nurse?,"Yes, he is.","No, it isn't.","Yes, she is.",C
137,Can you read?,"No, I can't.",I am read.,"Yes, she is.",A
138,Is he a teacher?,"Yes, she is.","No, he's not.",I'm a teacher.,B
139,Is she tall?,"Yes, he is.","Yes, she is.","No, it's not.",B
140,Is he short?,"No, she isn't.","Yes, I am.","No, he's not.",C
141,What's this?,It's a yellow eraser.,It's a yellow.,"Yes, it is.",A
142,What can you do?,I'm a cook.,She's my mother.,I can write.,C
143,Is that a bird?,"Yes, it is.","No, I'm not.",I can fly.,A
144,How are you?,I'm ten.,How are you?,I'm fine.,C
145,Nice to meet you.,Thank you.,Goodbye.,"Nice to meet you, too.",C
